RECORD CODE,CLIENT TYPE,CLIENT NUMBER,ACCOUNT NUMBER,SUBACCOUNT NUMBER,OPPOSITE PARTY CODE,PRODUCT GROUP CODE,EXCHANGE CODE,SYMBOL,EXPIRATION DATE,CURRENCY CODE,MOVEMENT CODE,BUY SELL CODE,QUANTTTY LONG SIGN,QUANTITY LONG,QUANTITY SHORT SIGN,QUANTITY SHORT,EXCH/BROKER FEE / DEC,EXCH/BROKER FEE / DC,EXCH/BROKER FEE CUR CODE,CLEARING FEE / DEC,CLEARING FEE D C,CLEARING FEE CUR CODE,COMMISSION,COMMISSION D C,COMMISSION CUR CODE,TRANSACTION DATE,FUTURE REFERENCE,TICKET NUMBER,EXTERNAL NUMBER,TRANSACTION PRICE / DEC,TRADER INITIALS,OPPOSITE TRADER ID,OPEN CLOSE CODE
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001335,"0     ",689458,000092150000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001427,"0     ",691050,000092350000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001428,"0     ",691052,000092350000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001601,"0     ",765563,000092050000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001602,"0     ",765565,000092050000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001732,"0     ",766581,000091800000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,002791,"0     ",777033,000092100000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,004396,"0     ",784052,000092250000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,004397,"0     ",784054,000092250000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,004563,"0     ",786756,000092350000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,004564,"0     ",786758,000092350000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,006849,"0     ",801294,000092600000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,006850,"0     ",801296,000092600000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000002," ",0000000000,000000000120,D,USD,000000000060,D,USD,000000000000,D,JPY,20100820,000012,"0     ",767059,000091900000000,"      ","       ",O
